ImageNumber,ObjectNumber,Metadata_ImageBaseName,Metadata_batch,Metadata_batchpath,Metadata_posNum,Metadata_treatment,Metadata_wellNum,AreaShape_Area,Intensity_IntegratedIntensity_copB2_bgCorr,Intensity_IntegratedIntensity_copB2_saturated_bw
2,4,Well1_001--COPb2--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,COPb2,001,18848,297.78549315407872,0.0
2,5,Well1_001--COPb2--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,COPb2,001,19500,298.87026794627309,0.0
3,1,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,13590,-15.516109947115183,0.0
3,2,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,6078,-7.6044691540300846,0.0
3,3,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,7773,-9.9624944813549519,0.0
3,4,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14546,-19.903572048991919,0.0
3,5,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,9430,-13.878681413829327,0.0
3,6,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18004,-23.591845575720072,0.0
3,7,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18760,-29.763723462820053,0.0
3,8,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,20361,-26.57796598225832,0.0
3,9,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,15201,-20.760853961110115,0.0
3,10,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,12002,-19.02104939520359,0.0
3,11,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16021,-24.933572005480528,0.0
3,12,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14694,-20.178660940378904,0.0
3,13,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,13181,-16.731481168419123,0.0
3,14,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18470,-26.878081414848566,0.0
3,15,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,12400,-15.712143313139677,0.0
3,16,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16748,-21.797631856054068,0.0
3,17,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18390,-18.781410541385412,0.0
3,18,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16496,-21.061892595142126,0.0
3,19,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,12488,-17.369859907776117,0.0
